"Subj","Block","Trial","RT","Cond","stimuli","direction","AlignedVAR","UnalignedVAR"
"1","1","1","1306","Tool","gavel","Right",1297.92592999642,270.052695824245
"1","1","1","1038","Tool","machete","Left",867.397885899054,171.364891023309
"1","1","1","1638","Tool","sieve01b","Right",1117.44276218659,230.195551722215
"1","1","1","3087","Tool","bottleopener01","Left",265.845567280374,72.6543809212765
"1","1","1","3641","Tool","file","Right",101.517992240894,175.715124480179
"1","1","1","1005","Tool","cleaver02","Right",761.295736406759,426.69778452479
"1","1","1","2621","Tool","ladle02a","Left",227.215048629933,207.06615047682
"1","1","1","5140","Tool","handbrush02","Left",166.003921324134,27.1362865393633
"1","1","1","2255","Tool","oneholepunch","Left",1587.59152456876,288.810985063284
"1","1","1","1305","Tool","woodenspoon","Right",1447.49805872979,283.706917704056
"1","1","1","1521","Tool","lintroller","Right",733.543413017458,190.430456436502
"1","1","1","1388","Tool","fryingpan02a","Left",2890.07164949567,574.339544298259
"1","1","1","906","Tool","huntingknife","Right",2563.09152109641,1486.09421817944
"1","1","1","905","Tool","spatula03","Right",2467.25667261312,1293.30582763671
"1","1","1","1172","Tool","racquetballracket","Right",3420.61744299106,1769.44476820197
"1","1","1","1123","Tool","paintbrush01","Left",173.64983712381,62.1677399787024
"1","1","1","1539","Tool","electrictoothbrush01c","Right",2706.61282862802,1472.22112624199
"1","1","1","1139","Animal","seaturtle","Left",524.144981410523,390.659886862463
"1","1","1","839","Animal","americangoldfinch","Right",3119.71502635501,1071.70689369391
"1","1","1","855","Animal","mouse","Left",780.97226301113,281.029237235506
"1","1","1","4157","Animal","pigeon","Left",296.619640590209,59.6535267139196
"1","1","1","972","Animal","giraffe","Right",1490.81106419711,502.116961714489
"1","1","1","889","Animal","pig","Left",355.524635330888,127.173895417937
"1","1","1","1005","Animal","kingfisher","Right",965.869556991695,369.478835724847
"1","1","1","839","Animal","barnowl","Right",3128.00694026397,1023.45057478508
"1","1","1","976","Animal","grizzly","Right",934.878735190212,276.997814564803
"1","1","1","1188","Animal","rhinoceros02","Left",3073.71046445747,921.336902084294
"1","1","1","989","Animal","bull","Left",281.348781659782,84.5922928919263
"1","1","1","1005","Animal","platypus","Right",814.630364859495,483.814801701027
"1","1","1","1289","Animal","peacock","Right",66.7429614384159,29.0500982389429
"1","1","1","922","Animal","macaque","Left",1820.74939816405,538.372879315001
"1","1","1","1058","Animal","salmon","Left",2780.56379704514,757.911353752209
"1","1","1","1005","Animal","ladybug03","Right",928.482824930612,265.700454407988
"1","1","1","1256","Animal","toucan","Right",241.807976405661,80.4971745124061
"1","1","1","1173","Animal","hippopotamus","Left",3362.72372443258,1007.84751728951
"1","1","1","4172","Animal","sheep","Left",892.264614602958,479.254854588043
