rs_left,rs_right,rs_sound,tx
415.10994501464,436.718260720719,161.828611156809,0.001
424.638360271043,446.875077333324,138.934362256836,0.0313030303030303
418.609240325056,443.695615168383,150.434024570344,0.0616060606060606
421.408296842763,447.471746730212,144.84621469583,0.0919090909090909
420.464265495117,446.400969382221,137.721871970623,0.122212121212121
421.635893872557,446.50706234412,143.517851836478,0.152515151515152
422.637083607602,446.798837591824,142.36647361028,0.182818181818182
423.16792295622,445.943592350455,133.875403640876,0.213121212121212
422.838873077995,443.575095765872,148.07057793042,0.243424242424242
421.731132140098,442.909665497821,165.671480306007,0.273727272727273
421.343234139142,442.061987337626,146.326063093492,0.304030303030303
421.741122404709,442.049902041288,147.019581244989,0.334333333333333
421.280201151727,441.989385977666,148.30130580138,0.364636363636364
421.73883272558,441.833173852149,157.5948355828,0.394939393939394
422.017996183479,440.608486991471,151.221100677349,0.425242424242424
422.553863771753,439.158594939608,134.709217353883,0.455545454545455
423.278749261759,439.154781525679,144.300570329143,0.485848484848485
423.757332247694,439.900281839617,142.727654747024,0.516151515151515
424.050194201228,440.93132818043,132.128935669657,0.546454545454545
423.242402064597,440.972098407079,141.734679926512,0.576757575757576
422.994023973292,441.827668580319,135.451071708428,0.607060606060606
423.043676550539,441.857045454492,134.082965643034,0.637363636363636
422.877946818647,443.665714528473,138.224032392234,0.667666666666667
422.167615859574,445.051234208851,137.183305198053,0.697969696969697
421.879224318727,445.843964959904,143.975407593244,0.728272727272727
422.770947670428,445.336819267752,160.589135693584,0.758575757575758
422.98365602592,444.876459208363,161.765875868782,0.788878787878788
422.998641502977,445.606665765241,168.519098957451,0.819181818181818
422.024967444428,445.463568131342,161.523716927741,0.849484848484849
420.97601084273,445.742543718432,145.76263991725,0.879787878787879
420.188301310291,445.970720978778,232.371455814329,0.910090909090909
419.997436313434,445.986741352221,281.493425010503,0.940393939393939
419.966260065889,445.997657695577,262.883112151069,0.97069696969697
420.987533349989,446.943636787932,225.444271972719,1.001
421.264997798086,447.730557254811,207.510308338712,1.03130303030303
420.400879202171,447.235311693078,208.175044130757,1.06160606060606
421.901953610296,446.785764184885,233.817019691663,1.09190909090909
423.231980314763,446.487567412502,195.542195167618,1.12221212121212
424.1220636603,447.192316086523,173.321278354188,1.15251515151515
424.060987099304,446.492965282063,163.462822082173,1.18281818181818
423.682070476401,446.286348342922,133.981534582253,1.21312121212121
422.915633197787,447.100052127192,142.406701609043,1.24342424242424
423.032447855611,446.20225183267,135.372764602881,1.27372727272727
422.950778039985,446.584823014025,138.068519323442,1.3040303030303
422.976046888093,446.976328046713,144.779795084581,1.33433333333333
422.999163049831,447.34524518283,153.450807424053,1.36463636363636
422.953030100747,448.321849325449,154.235448329172,1.39493939393939
423.122739893663,449.163183227612,151.646394683797,1.42524242424242
422.45492330204,447.89875368547,138.777770494042,1.45554545454545
421.939611234895,446.435268588409,137.87466976052,1.48584848484848
422.110509585779,445.088619884894,139.183393734852,1.51615151515152
421.574617742383,443.95970933694,138.012077906104,1.54645454545455
421.049321187007,444.372866901977,141.741428404757,1.57675757575758
421.213274667568,444.660634563976,151.504942423961,1.60706060606061
422.324629340966,444.615292496213,149.082785017046,1.63736363636364
421.532695072419,444.291439672676,137.861358861549,1.66766666666667
425.166413150635,446.892894205359,146.764678205149,1.6979696969697
423.62560213373,444.161260035166,149.856542685261,1.72827272727273
431.79626575633,451.28664565524,172.826659932471,1.75857575757576
427.003529312359,443.560209030533,144.324714856517,1.78887878787879
442.755516012727,459.22115440025,156.15050414928,1.81918181818182
421.55244895472,438.756101236205,166.911208297556,1.84948484848485
464.142438325017,480.488881937073,135.574240427381,1.87978787878788
371.901150977534,384.469371733397,115.15719611461,1.91009090909091
